# author: Sam Chan
"# Note: If row start with #, then comment out the row"
# admin/io,opcode,CommandName,CSE,CCC,NIC,NCC,LBCC,CSUPP
admin,0,Delete I/O Submission Queue,0,0,0,0,0,1
admin,1,Create I/O Submission Queue,0,0,0,0,0,1
admin,2,Get Log Page,0,0,0,0,0,1
admin,4,Delete I/O Completion Queue,0,0,0,0,0,1
admin,5,Create I/O Completion Queue,0,0,0,0,0,1
admin,6,Identify,0,0,0,0,0,1
admin,8,Abort,0,0,0,0,0,1
admin,9,Set Features,0,0,0,0,0,1
admin,10,Get Features,0,0,0,0,0,1
admin,12,Asynchronous Event Request,0,0,0,0,0,1
admin,13,Namespace Management,0,0,0,0,0,0
admin,16,Firmware Commit,0,0,0,0,0,1
admin,17,Firmware Image Download,0,0,0,0,0,1
admin,20,Device Self-test,0,0,0,0,0,1
admin,21,Namespace Attachment,0,0,0,0,0,0
admin,24,Keep Alive,0,0,0,0,0,0
admin,25,Directive Send,0,0,0,0,0,0
admin,26,Directive Receive,0,0,0,0,0,0
admin,28,Virtualization Management,0,0,0,0,0,0
admin,29,NVMe-MI Send,0,0,0,0,0,0
admin,14,NVMe-MI Receive,0,0,0,0,0,0
admin,124,Doorbell Buffer Config,0,0,0,0,0,0
admin,128,Format NVM,2,0,0,0,1,1
admin,129,Security Send,2,0,0,0,1,1
admin,130,Security Receive,1,0,0,0,0,1
admin,132,Sanitize,0,0,0,0,0,0
io,0,Flush,1,0,0,0,0,1
io,1,Write,0,0,0,0,1,1
io,2,Read,0,0,0,0,0,1
io,4,Write Uncorrectable,0,0,0,0,1,1
io,5,Compare,0,0,0,0,0,1
io,8,Write Zeroes,0,0,0,0,1,1
io,9,Dataset Management,1,0,0,0,1,1
io,13,Reservation Register,0,0,0,0,0,0
io,14,Reservation Report,0,0,0,0,0,0
io,17,Reservation Acquire,0,0,0,0,0,0
io,21,Reservation Release,0,0,0,0,0,0
