VID,0x8086
SSVID,0x8086
SN,AA000000000000000046
MN,SMI2262HH
FR,HHF060K
RAB,0x6
IEEE,0x5cd2e4
CMIC,0x0
MDTS,0x6
CNTLID,0x1
VER,0x10201
RTD3R,0x7a120
RTD3E,0x1e8480
OAES,0x200
CTRATT,0x0
FGUID,0x0
OACS,0x17
ACL,0x4
AERL,0x7
FRMW,0x14
LPA,0xf
ELPE,0xff
NPSS,0x4
AVSCC,0x0
APSTA,0x1
WCTEMP,0x157
CCTEMP,0x161
MTFA,0x32
HMPRE,0x0
HMMIN,0x0
TNVMCAP,0x0
UNVMCAP,0x0
RPMBS,0x0
EDSTT,0x5
DSTO,0x1
FWUG,0x0
KAS,0x0
HCTMA,0x1
MNTMT,0x12f
MXTMT,0x15c
SANICAP,0x3
SQES,0x66
CQES,0x44
MAXCMD,0x0
NN,0x1
ONCS,0x5f
FUSES,0x0
FNA,0x4
VWC,0x1
AWUN,0x0
AWUPF,0x0
NVSCC,0x0
ACWU,0x0
SGLS,0x0
SUBNQN,nqn.2017-12.org.nvmexpress:uuid:11111111-2222-3333-4444-555555555555
